City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kandry,RU,54.5667,54.1167,-3.77,89,100,15.86,overcast clouds
1,Kormilovka,RU,55.0026,74.1028,28.4,93,75,15.66,light snow
2,Qaanaaq,GL,77.484,-69.3632,9.77,86,99,6.98,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,53.6,71,40,19.57,scattered clouds
4,Przasnysz,PL,53.0191,20.8803,10.0,84,0,7.25,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,69.8,73,62,6.91,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,78.44,69,100,9.95,overcast clouds
7,Esperance,AU,-33.8667,121.9,59.0,94,90,11.5,light rain
8,Thompson,CA,55.7435,-97.8558,-25.6,62,75,14.97,snow
9,Busselton,AU,-33.65,115.3333,59.0,97,100,1.99,light rain
10,Butaritari,KI,3.0707,172.7902,81.3,80,100,20.31,overcast clouds
11,Henties Bay,NA,-22.116,14.2845,64.0,89,40,3.0,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,73.74,53,0,2.39,clear sky
13,Kahului,US,20.8947,-156.47,77.0,50,20,11.5,few clouds
14,Seoul,KR,37.5683,126.9778,35.6,100,90,6.91,fog
15,Emerald,AU,-23.5333,148.1667,88.0,62,94,9.22,overcast clouds
16,Kutum,SD,14.2,24.6667,48.63,47,0,7.54,clear sky
17,Rosarito,MX,32.3333,-117.0333,77.0,48,1,6.91,clear sky
18,Sorong,ID,-0.8833,131.25,80.19,82,100,3.06,light rain
19,Jamestown,US,42.097,-79.2353,17.6,53,1,6.91,clear sky
20,Beringovskiy,RU,63.05,179.3167,-6.97,89,59,10.36,broken clouds
21,Middelburg,ZA,-25.7751,29.4648,63.0,90,100,1.14,overcast clouds
22,Kruisfontein,ZA,-34.0033,24.7314,66.0,84,35,1.99,scattered clouds
23,Zhoucheng,CN,35.9122,116.3117,36.39,79,0,13.02,clear sky
24,Yar-Sale,RU,66.8333,70.8333,-30.95,85,100,14.45,overcast clouds
25,Pedernales,DO,18.0384,-71.744,80.02,62,5,17.34,clear sky
26,Cape Town,ZA,-33.9258,18.4232,71.01,83,20,9.22,few clouds
27,Avarua,CK,-21.2078,-159.775,84.2,74,67,11.5,broken clouds
28,Hilo,US,19.7297,-155.09,80.6,41,1,9.22,clear sky
29,Rio Gallegos,AR,-51.6226,-69.2181,64.4,27,20,16.11,few clouds
30,Tayzhina,RU,53.6679,87.4362,20.26,96,0,3.29,clear sky
31,Albany,US,42.6001,-73.9662,30.0,43,1,9.22,clear sky
32,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.23,95,100,13.15,heavy intensity rain
33,Hobart,AU,-42.8794,147.3294,64.0,59,75,12.66,broken clouds
34,Sao Filipe,CV,14.8961,-24.4956,70.09,73,42,14.5,scattered clouds
35,Provideniya,RU,64.3833,-173.3,1.31,89,40,4.94,scattered clouds
36,Sitka,US,57.0531,-135.33,35.6,60,40,18.41,scattered clouds
37,Te Anau,NZ,-45.4167,167.7167,69.8,48,5,2.46,clear sky
38,Castro,BR,-24.7911,-50.0119,62.92,76,0,8.99,clear sky
39,Walvis Bay,NA,-22.9575,14.5053,64.0,88,4,5.75,clear sky
40,Mount Isa,AU,-20.7333,139.5,75.2,100,90,8.05,light rain
41,Kodiak,US,57.79,-152.4072,37.4,60,20,3.44,few clouds
42,Caska,MK,41.6506,21.6622,35.6,100,0,2.35,clear sky
43,Linjiang,CN,41.8069,126.9078,6.66,88,4,1.61,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,55.4,58,40,23.02,scattered clouds
45,Saint-Pierre,RE,-21.3393,55.4781,78.8,83,40,4.61,light rain
46,Juybar,IR,36.6412,52.9124,52.09,83,100,2.35,overcast clouds
47,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,40,9.22,scattered clouds
48,Coquimbo,CL,-29.9533,-71.3436,64.4,68,0,10.36,clear sky
49,Lazaro Cardenas,MX,17.9583,-102.2,80.47,62,0,6.44,clear sky
50,Hermanus,ZA,-34.4187,19.2345,68.0,89,55,3.56,broken clouds
51,Truth Or Consequences,US,33.1284,-107.2528,63.0,13,1,12.66,clear sky
52,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,83,90,24.16,snow
53,Ust-Nera,RU,64.5667,143.2,-25.71,76,68,4.94,broken clouds
54,Ribeira Grande,PT,38.5167,-28.7,61.07,85,97,21.97,overcast clouds
55,Mandan,US,46.8267,-100.8896,-0.4,59,1,10.36,clear sky
56,Qitaihe,CN,45.8,130.85,-13.29,89,78,2.82,light snow
57,Arraial Do Cabo,BR,-22.9661,-42.0278,75.63,83,100,5.86,moderate rain
58,Plouzane,FR,48.3833,-4.6167,44.6,87,75,9.22,broken clouds
59,Rosetta,EG,31.4044,30.4164,55.4,88,0,3.44,clear sky
60,Chokurdakh,RU,70.6333,147.9167,-24.43,86,26,3.69,scattered clouds
61,Rabo De Peixe,PT,37.8,-25.5833,60.01,94,75,16.11,broken clouds
62,Georgetown,MY,5.4112,100.3354,78.8,83,20,7.05,few clouds
63,Talnakh,RU,69.4865,88.3972,-29.15,73,0,2.46,clear sky
64,Rochegda,RU,62.8,43.25,-8.16,89,98,8.37,overcast clouds
65,Bluff,NZ,-46.6,168.3333,61.32,67,2,3.49,clear sky
66,Samarai,PG,-10.6167,150.6667,84.63,72,67,6.89,broken clouds
67,Port Alfred,ZA,-33.5906,26.891,68.0,90,48,5.01,scattered clouds
68,Upernavik,GL,72.7868,-56.1549,19.63,77,95,3.09,overcast clouds
69,Ixtapa,MX,20.7,-105.2,75.2,69,75,10.36,broken clouds
70,Tasiilaq,GL,65.6145,-37.6368,33.8,60,75,34.52,light rain
71,Airai,TL,-8.9266,125.4092,64.26,99,87,2.64,overcast clouds
72,Romitan,UZ,39.9343,64.3814,46.4,81,75,4.61,light rain
73,Puerto Ayora,EC,-0.7393,-90.3518,86.0,62,0,16.11,clear sky
74,Vanimo,PG,-2.6741,141.3028,79.34,86,97,5.77,overcast clouds
75,Touros,BR,-5.1989,-35.4608,78.8,78,40,4.61,scattered clouds
76,Bandarbeyla,SO,9.4942,50.8122,75.2,80,21,12.35,few clouds
77,Nampula,MZ,-15.1165,39.2666,75.2,88,75,3.44,broken clouds
78,Dunedin,NZ,-45.8742,170.5036,57.99,81,1,25.99,clear sky
79,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,40,4.61,light rain
80,Vryburg,ZA,-26.9566,24.7284,66.06,87,40,11.07,scattered clouds
81,Ouango,CF,4.3133,22.5552,70.54,28,40,3.83,scattered clouds
82,Severo-Kurilsk,RU,50.6789,156.125,21.97,93,100,14.05,overcast clouds
83,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,63,0,6.91,clear sky
84,San Patricio,US,28.017,-97.5169,75.2,46,1,11.5,clear sky
85,Norman Wells,CA,65.282,-126.8329,-29.2,75,75,4.61,broken clouds
86,Barrow,US,71.2906,-156.7887,-5.8,77,20,12.66,few clouds
87,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,82,40,12.57,scattered clouds
88,Port-Gentil,GA,-0.7193,8.7815,80.6,89,40,5.75,scattered clouds
89,Yellowknife,CA,62.456,-114.3525,-34.01,67,1,3.44,mist
90,Sibolga,ID,1.7427,98.7792,74.98,80,65,4.27,broken clouds
91,Erenhot,CN,43.6475,111.9767,1.94,84,23,3.44,few clouds
92,Goderich,CA,43.7501,-81.7165,21.2,63,100,17.27,overcast clouds
93,Kapaa,US,22.0752,-159.319,73.4,49,20,6.91,few clouds
94,Owensboro,US,37.7742,-87.1133,39.2,60,75,5.75,broken clouds
95,East London,ZA,-33.0153,27.9116,74.59,88,6,7.27,clear sky
96,Aksarka,RU,66.5606,67.7975,-35.3,82,97,20.11,overcast clouds
97,Torbay,CA,47.6666,-52.7314,41.0,100,90,19.57,light rain
98,Turayf,SA,31.6725,38.6637,42.8,93,0,9.22,clear sky
99,Labuhan,ID,-6.8844,112.2051,77.63,87,41,7.83,scattered clouds
100,Sorland,NO,67.667,12.6934,35.15,80,59,22.15,broken clouds
101,Padang,ID,-0.9492,100.3543,71.6,94,20,2.3,few clouds
102,Hithadhoo,MV,-0.6,73.0833,81.86,74,26,11.9,scattered clouds
103,Bay Roberts,CA,47.5999,-53.2648,45.0,100,90,19.57,light rain
104,Elmira,US,42.0898,-76.8077,30.2,27,1,4.61,clear sky
105,Nikolskoye,RU,59.7035,30.7861,8.6,78,20,11.18,few clouds
106,Bethel,US,41.3712,-73.414,41.0,38,1,5.75,clear sky
107,Marystown,CA,47.1666,-55.1483,39.51,91,100,19.01,overcast clouds
108,Rantoul,US,40.3084,-88.1559,19.4,68,90,5.75,overcast clouds
109,Rovenki,UA,48.0833,39.3776,21.78,87,45,11.9,light snow
110,Port Lincoln,AU,-34.7333,135.8667,61.68,69,87,11.23,overcast clouds
111,Atuona,PF,-9.8,-139.0333,80.28,77,89,21.81,overcast clouds
112,Puri,IN,19.8,85.85,64.4,88,15,1.14,mist
113,Tecuala,MX,22.3986,-105.4569,78.48,44,22,7.81,few clouds
114,Lalmohan,BD,22.3384,90.7419,65.66,60,0,14.58,clear sky
115,Olafsvik,IS,64.8945,-23.7142,33.98,83,56,14.56,broken clouds
116,Faya,SA,18.3851,42.4509,50.0,76,0,3.04,clear sky
117,Micheweni,TZ,-4.9667,39.8333,79.59,80,53,6.82,broken clouds
118,Chinsali,ZM,-10.5414,32.0816,65.8,95,100,2.21,moderate rain
119,Chara,RU,56.9064,118.2631,-18.24,72,87,1.05,overcast clouds
120,Saint George,US,37.1041,-113.5841,60.8,17,1,3.44,clear sky
121,Les Escoumins,CA,48.1111,-69.0236,28.4,68,98,28.77,overcast clouds
122,Ponta Do Sol,PT,32.6667,-17.1,55.0,66,13,1.99,few clouds
123,Vaini,TO,-21.2,-175.2,84.2,84,75,11.5,broken clouds
124,Ler,SS,8.3018,30.1418,66.54,24,50,6.17,scattered clouds
125,Kavaratti,IN,10.5669,72.642,81.16,60,5,10.42,clear sky
126,Turukhansk,RU,65.8167,87.9833,-2.6,92,100,14.43,light snow
127,Alice Springs,AU,-23.7,133.8833,80.01,29,54,16.11,broken clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,66.2,68,20,12.66,few clouds
129,Ilulissat,GL,69.2167,-51.1,23.0,46,9,29.93,light snow
130,Saskylakh,RU,71.9167,114.0833,-37.77,79,88,6.93,overcast clouds
131,Bilma,NE,18.6853,12.9164,64.18,25,75,7.58,broken clouds
132,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,4.61,scattered clouds
133,Chuarrancho,GT,14.8217,-90.5086,73.4,56,0,13.8,clear sky
134,Cidreira,BR,-30.1811,-50.2056,70.66,74,24,4.5,few clouds
135,Road Town,VG,18.4167,-64.6167,78.01,88,75,12.66,broken clouds
136,Lorengau,PG,-2.0226,147.2712,80.47,83,100,2.98,overcast clouds
137,Antofagasta,CL,-23.65,-70.4,68.0,73,20,12.66,few clouds
138,Chitral,PK,35.8462,71.7858,42.08,48,0,8.25,clear sky
139,Podgornoye,RU,51.735,39.1496,5.0,72,90,11.18,overcast clouds
140,Golden,US,39.7555,-105.2211,46.0,21,40,16.11,scattered clouds
141,Elverum,NO,60.8819,11.5623,16.0,84,11,1.99,few clouds
142,Dalvik,IS,65.9702,-18.5286,33.8,64,75,8.05,broken clouds
143,Bengkulu,ID,-3.8004,102.2655,76.35,73,100,4.94,light rain
144,Kjollefjord,NO,70.9457,27.3465,26.24,93,100,20.71,light snow
145,Chuy,UY,-33.6971,-53.4616,69.42,72,0,9.84,clear sky
146,Lavrentiya,RU,65.5833,-171.0,-7.49,79,0,2.71,clear sky
147,Nanakuli,US,21.3906,-158.1547,78.8,44,1,12.66,clear sky
148,Tahta,EG,26.7693,31.5021,57.2,67,0,6.91,clear sky
149,Nizhnevartovsk,RU,60.9344,76.5531,32.0,100,90,11.18,overcast clouds
150,Tarko-Sale,RU,64.9225,77.785,-6.23,90,100,14.14,overcast clouds
151,Ancud,CL,-41.8697,-73.8203,73.4,43,0,8.05,clear sky
152,Lompoc,US,34.6391,-120.4579,66.0,63,1,14.97,clear sky
153,Sept-Iles,CA,50.2001,-66.3821,30.2,93,100,9.22,light snow
154,Anzio,IT,41.4853,12.6179,63.0,45,34,5.01,scattered clouds
155,La Ronge,CA,55.1001,-105.2842,-20.2,57,83,8.05,broken clouds
156,Tuatapere,NZ,-46.1333,167.6833,70.07,50,0,1.36,clear sky
157,Okaihau,NZ,-35.3167,173.7833,69.01,73,100,5.99,overcast clouds
158,Kahramanmaras,TR,38.0,37.0,41.0,81,0,2.3,clear sky
159,Lasa,IT,46.6166,10.7002,39.99,100,75,12.66,light rain
160,Moranbah,AU,-22.0016,148.0466,83.73,61,100,9.95,overcast clouds
161,Roszke,HU,46.188,20.0337,37.99,99,100,4.43,overcast clouds
162,Geraldton,AU,-28.7667,114.6,68.0,88,75,23.02,broken clouds
163,Pisco,PE,-13.7,-76.2167,73.4,78,75,4.61,broken clouds
164,Martinsville,US,36.6915,-79.8725,46.4,36,40,4.38,scattered clouds
165,Mahibadhoo,MV,3.7833,72.9667,80.71,77,33,11.14,scattered clouds
166,Killybegs,IE,54.6333,-8.45,39.0,88,25,7.0,scattered clouds
167,Aguimes,ES,27.9054,-15.4461,62.01,82,40,14.97,scattered clouds
168,Coihaique,CL,-45.5752,-72.0662,77.0,23,20,9.22,few clouds
169,Buchanan,LR,5.8808,-10.0467,75.2,100,40,7.16,scattered clouds
170,Zholymbet,KZ,51.7433,71.7122,28.31,94,98,31.41,overcast clouds
171,Carnarvon,AU,-24.8667,113.6333,80.6,100,28,11.5,scattered clouds
172,Havoysund,NO,70.9963,24.6622,27.41,94,100,22.01,light snow
173,Dikson,RU,73.5069,80.5464,-28.75,86,89,9.57,overcast clouds
174,Olden,NO,61.8364,6.8064,12.99,78,0,4.0,clear sky
175,Lebu,CL,-37.6167,-73.65,60.76,86,65,3.11,broken clouds
176,Dzaoudzi,YT,-12.7887,45.2699,78.8,89,0,6.91,clear sky
177,Naron,ES,43.5167,-8.1528,46.99,100,40,6.91,scattered clouds
178,Axim,GH,4.8699,-2.2405,79.86,88,0,8.12,clear sky
179,Giresun,TR,40.5,38.5,46.4,71,0,6.24,clear sky
180,Hamilton,US,39.1834,-84.5333,33.8,47,40,6.91,scattered clouds
181,Statesboro,US,32.4488,-81.7832,48.2,87,90,4.61,light rain
182,Bubaque,GW,11.2833,-15.8333,80.31,54,55,19.26,broken clouds
183,Iqaluit,CA,63.7506,-68.5145,26.6,80,90,21.85,overcast clouds
184,Mount Darwin,ZW,-16.7725,31.5838,68.65,96,98,3.76,overcast clouds
185,Derzhavinsk,KZ,51.1,66.3167,12.81,94,100,28.43,overcast clouds
186,Roebourne,AU,-20.7833,117.1333,78.6,68,46,9.53,scattered clouds
187,Capao Da Canoa,BR,-29.7456,-50.0097,72.82,70,28,7.0,scattered clouds
188,Zhangjiakou,CN,40.81,114.8794,16.56,83,3,6.35,clear sky
189,Denpasar,ID,-8.65,115.2167,77.0,94,20,1.14,few clouds
190,Pangnirtung,CA,66.1451,-65.7125,23.14,80,82,2.8,broken clouds
191,Victor Harbor,AU,-35.5667,138.6167,63.0,98,67,11.81,broken clouds
192,Komsomolskiy,UZ,40.4272,71.7189,42.8,49,100,6.91,mist
193,Sao Domingos,BR,-13.3983,-46.3183,67.23,91,100,4.81,overcast clouds
194,Pevek,RU,69.7008,170.3133,-5.75,88,38,5.23,scattered clouds
195,New Norfolk,AU,-42.7826,147.0587,64.0,59,79,1.01,broken clouds
196,Dukat,RU,62.55,155.55,-6.36,89,100,4.07,overcast clouds
197,Rio De Janeiro,BR,-22.9028,-43.2075,77.0,88,90,3.44,overcast clouds
198,Tessalit,ML,20.1986,1.0114,72.63,18,75,14.5,broken clouds
199,Gaurnadi,BD,22.9667,90.2333,60.94,63,0,9.22,clear sky
200,Hasaki,JP,35.7333,140.8333,39.2,70,0,3.44,clear sky
201,Sechura,PE,-5.5569,-80.8222,80.69,58,15,16.91,few clouds
202,Siuna,NI,13.7332,-84.7773,79.95,83,72,3.44,broken clouds
203,Anahuac,MX,27.2333,-100.15,77.0,19,1,13.8,clear sky
204,Yagodnoye,RU,62.55,149.6667,-21.69,82,72,0.98,broken clouds
205,Tautira,PF,-17.7333,-149.15,84.2,58,20,16.11,light rain
206,Cooma,AU,-36.2333,149.1333,64.4,52,0,2.3,clear sky
207,San Cristobal,VE,7.7669,-72.225,84.2,61,40,6.91,scattered clouds
208,Stornoway,GB,58.2093,-6.3865,37.4,70,20,21.85,few clouds
209,Grindavik,IS,63.8424,-22.4338,33.8,69,0,18.41,clear sky
210,Luganville,VU,-15.5333,167.1667,84.96,65,2,5.12,clear sky
211,Carutapera,BR,-1.195,-46.02,79.5,82,65,6.93,broken clouds
212,Oriximina,BR,-1.7656,-55.8661,82.02,74,87,4.97,overcast clouds
213,Liwale,TZ,-9.7667,37.9333,71.49,98,100,2.75,moderate rain
214,Cherskiy,RU,68.75,161.3,-7.2,80,0,4.83,clear sky
215,Nichinan,JP,31.6,131.3667,48.2,76,20,17.27,few clouds
216,Ostrovnoy,RU,68.0531,39.5131,9.01,91,100,9.15,overcast clouds
217,Raga,SS,8.4596,25.678,61.2,29,2,5.82,clear sky
218,Baykalovo,RU,57.3981,63.7684,33.73,97,100,7.85,light snow
219,Kavieng,PG,-2.5744,150.7967,83.57,68,53,2.33,broken clouds
220,Turan,VN,16.0678,108.2208,68.0,94,40,2.3,scattered clouds
221,Angoram,PG,-4.0625,144.0661,75.92,95,100,2.3,overcast clouds
222,Rosario,AR,-32.9468,-60.6393,86.0,39,0,4.61,clear sky
223,Rocha,UY,-34.4833,-54.3333,65.98,88,0,7.96,clear sky
224,Seydisehir,TR,37.4193,31.8453,42.71,64,0,1.52,clear sky
225,Namatanai,PG,-3.6667,152.4333,83.7,68,72,3.62,broken clouds
226,Cabedelo,BR,-6.9811,-34.8339,80.6,78,20,5.75,few clouds
227,Sabang,ID,5.8933,95.3214,82.44,74,63,14.74,broken clouds
228,Khatanga,RU,71.9667,102.5,-35.27,78,0,7.99,clear sky
229,Hojai,IN,26.0,92.8667,56.89,70,48,0.4,scattered clouds
230,Nemuro,JP,43.3236,145.575,24.66,96,100,11.9,overcast clouds
231,Coahuayana,MX,18.7333,-103.6833,78.8,61,1,5.28,clear sky
232,Marrakesh,MA,31.6315,-8.0083,48.2,87,75,6.91,broken clouds
233,Sinnamary,GF,5.3833,-52.95,77.72,86,100,13.53,overcast clouds
